id,name_he,name_en,type,district,culture,status,has_coa,has_logo,population,size_tier
arara-banegev,ערערה-בנגב,Ar'ara BaNegev,local,south,bedouin,found,yes,no,,מועצה מקומית
arraba,עראבה,Arraba,local,north,arab,found,yes,no,26641,עיירה
azor,מועצה מקומית אזור,Azor,local,tel-aviv,jewish,found,no,yes,24000,עיירה
basma,"בסמ""ה",Basma,local,haifa,arab,found,yes,no,5000,מועצה מקומית
beer-yaakov,מועצה מקומית באר-יעקב,Beer Yaakov,local,center,jewish,found,yes,no,29852,עיירה
beit-aryeh,מועצה מקומית בית-אריה,Beit Aryeh,local,judea-samaria,jewish,found,yes,no,8000,מועצה מקומית
beit-dagan,מועצה מקומית בית-דגן,Beit Dagan,local,center,jewish,found,yes,no,7644,מועצה מקומית
beit-el,מועצה מקומית בית-אל,Beit El,local,judea-samaria,jewish,found,yes,no,7000,מועצה מקומית
beit-jann,בית-ג'ן,Beit Jann,local,north,druze,found,yes,no,12307,מועצה מקומית
bir-elmaksur,ביר-אל-מכסור,Bir-Elmaksur,local,north,arab,found,yes,no,9959,מועצה מקומית
bnei-ayish,"בני-עי""ש",Bnei Ayish,local,center,arab,found,yes,no,6895,מועצה מקומית
bosmat-tivon,בסמת-טבעון,Bosmat Tivon,local,north,arab,found,yes,no,8068,מועצה מקומית
bueine-nujeidat,בועיינה-נוג'ידאת,Bueine-Nujeidat,local,north,arab,found,yes,no,10137,מועצה מקומית
buqata,בוקעאתה,Buq'ata,local,north,druze,found,yes,no,6752,מועצה מקומית
daburiyya,דבוריה,Daburiyya,local,north,arab,found,yes,no,10782,מועצה מקומית
deir-hanna,דיר-חנא,Deir Hanna,local,north,arab,found,yes,no,10599,מועצה מקומית
deir-al-asad,דיר-אל-אסד,Deir al-Asad,local,north,arab,found,yes,no,12935,מועצה מקומית
efrat,מועצה מקומית אפרת,Efrat,local,judea-samaria,jewish,found,no,yes,12000,מועצה מקומית
eilaboun,עילבון,Eilaboun,local,north,arab,found,yes,no,5812,מועצה מקומית
ein-knia,עין-קיניה,Ein Knia,local,north,druze,found,yes,no,2172,מועצה מקומית
ein-mahel,עין-מאהל,Ein Mahel,local,north,arab,found,yes,no,13748,מועצה מקומית
elkana,מועצה מקומית אלקנה,Elkana,local,judea-samaria,jewish,found,yes,no,6000,מועצה מקומית
elyakhin,מועצה מקומית אליכין,Elyakhin,local,center,jewish,found,yes,no,3461,מועצה מקומית
emanuel,מועצה מקומית עמנואל,Emanuel,local,judea-samaria,jewish,found,yes,no,,מועצה מקומית
even-yehuda,מועצה מקומית אבן-יהודה,Even Yehuda,local,center,jewish,found,yes,no,14266,מועצה מקומית
fassuta,פסוטה,Fassuta,local,north,arab,found,yes,no,3236,מועצה מקומית
fureidis,פורידיס,Fureidis,local,haifa,arab,found,yes,no,15000,מועצה מקומית
ganey-tikva,מועצה מקומית גני-תקוה,Ganey Tikva,local,center,jewish,found,yes,no,22694,עיירה
givat-zeev,מועצה מקומית גבעת-זאב,Givat Zeev,local,judea-samaria,jewish,found,no,yes,20000,עיירה
